gNFW fits producer log
Started: 2026-05-21 15:21:06
Workers: 18, Time budget: 90s
========================================================================
  [89/102] UGC02916: best n_shells=1, chi2_r=0.73, gnfw0_gamma=0.00, n_pts=32, t=114.1s
  [90/102] UGCA442: best n_shells=0, chi2_r=0.74, gnfw0_gamma=0.09, n_pts=8, t=22.1s
  [91/102] UGC08699: best n_shells=0, chi2_r=0.51, gnfw0_gamma=1.34, n_pts=37, t=46.2s
  [92/102] UGC05986: best n_shells=1, chi2_r=0.44, gnfw0_gamma=0.00, n_pts=15, t=98.5s
  [93/102] UGC11914: best n_shells=2, chi2_r=0.15, gnfw0_gamma=1.66, n_pts=63, t=57.6s
  [94/102] UGC06399: best n_shells=0, chi2_r=0.17, gnfw0_gamma=0.00, n_pts=9, t=122.9s
  [95/102] UGC08490: best n_shells=0, chi2_r=0.10, gnfw0_gamma=0.80, n_pts=30, t=81.7s
  [96/102] NGC5585: best n_shells=2, chi2_r=1.72, gnfw0_gamma=0.26, n_pts=24, t=196.6s
  [97/102] UGC06787: best n_shells=2, chi2_r=9.47, gnfw0_gamma=1.34, n_pts=55, t=160.5s
  [98/102] UGC02953: best n_shells=2, chi2_r=2.19, gnfw0_gamma=1.04, n_pts=106, t=215.0s
  [99/102] UGC11455: best n_shells=0, chi2_r=1.65, gnfw0_gamma=0.52, n_pts=33, t=149.8s
  [100/102] UGC09133: best n_shells=1, chi2_r=6.05, gnfw0_gamma=0.35, n_pts=64, t=160.0s
  [101/102] UGC09037: best n_shells=0, chi2_r=0.64, gnfw0_gamma=0.00, n_pts=19, t=163.9s
  [102/102] UGC07524: best n_shells=0, chi2_r=0.27, gnfw0_gamma=0.00, n_pts=31, t=186.2s

Finished: 2026-05-21 15:27:22
Total elapsed: 6.3 min
Successful: 102/102
Errors:     0
