Galaxy,realization,Inc_nominal_deg,Inc_perturbed_deg,e_Inc_deg,vobs_factor,status,n_shells,n_points,rho0,a_kpc,chi2,chi2_red,bic,r_sh1,M_sh1,sigma_sh1,sigma_over_r1,r_sh2,M_sh2,sigma_sh2,sigma_over_r2
F568-V1,16,40.0,36.93753838706358,10.0,1.0696297548391018,ok,0,15,131720921.8909781,3.004025288664558,0.6806977164629048,0.05236136280483883,6.096798118667325,,,,,,,,
IC2574,16,75.0,71.17805550204517,7.0,1.0204960766574336,ok,1,34,2458143.653548338,67.85470965300931,13.54920549547593,0.46721398260261826,31.18100811855674,2.4416622431621886,348989113.6231602,0.7137360169388659,0.2923156218423187,,,,
IC4202,16,90.0,89.0,1.0,1.0001523280439077,ok,2,29,9790994.711866548,19.10311930063002,9.606421848589173,0.45744865945662727,36.54478848848097,5.999999999999999,25919423346.57996,0.9744331765241201,0.1624055294206867,3.90815876564469,9432916243.494793,0.03933013624421438,0.010063597361998798
UGC06399,15,75.0,73.45207527994201,2.0,1.0076613070508098,ok,0,9,46755267.97972232,3.4810998817071694,0.3280662130263408,0.046866601860905834,4.72251536769878,,,,,,,,
NGC0024,16,64.0,62.89884637130685,3.0,1.0096499427556231,ok,1,29,515967598.578,1.2289205127829852,3.1013430199160537,0.12922262582983557,19.937822169848424,9.440408061305638,12385935881.495773,1.74062330197929,0.18438009148288412,,,,
F574-1,16,65.0,68.11366502069644,10.0,0.9767035120269069,ok,0,14,50874442.96517829,3.5421946612114312,1.1938201234863486,0.09948501029052904,6.471934782716866,,,,,,,,
ESO116-G012,16,74.0,78.49144588581503,3.0,0.9809844585449935,ok,0,15,62197967.662803866,3.6798350630526615,10.022601379260506,0.7709693368661927,15.438701781464925,,,,,,,,
UGC10310,15,34.0,39.39415275297773,6.0,0.8811021035749533,ok,0,7,52952475.36511601,2.0505908283266465,0.6183459818954423,0.12366919637908846,4.510166280006069,,,,,,,,
NGC0289,16,46.0,46.16383736936982,5.0,0.9972502853808712,ok,1,28,3395710.9222807074,22.66923105950528,37.85188328886756,1.64573405603772,54.51290583974358,7.957661089052816,37745455642.97145,1.893195058083544,0.23790848050666194,,,,
NGC0801,16,80.0,79.50154531065692,1.0,1.001574284579153,ok,1,11,3022887.471948778,28.746272198759975,8.44093010249637,1.406821683749395,20.430406466488222,3.0848161877530504,27183482627.25521,1.23392647510122,0.39999999999999997,,,,
NGC0100,16,89.0,89.0,1.0,1.0,ok,0,21,27482929.52217859,4.737039354047202,1.625420802422791,0.08554846328541005,7.7144656778696366,,,,,,,,
