null_type,realization,rho_per_T,p_per_T,rho_per_gal,p_per_gal,n_shellbearing,n_total,frac_T2,n_T2,frac_T3,n_T3,frac_T4,n_T4,frac_T5,n_T5,frac_T6,n_T6,frac_T7,n_T7,frac_T8,n_T8,frac_T9,n_T9
scramble,48,-0.4047619047619048,0.3198886412288164,-0.10778021314940371,0.28091963759127553,38,102,0.6666666666666666,9,0.18181818181818182,11,0.4117647058823529,17,0.5384615384615384,13,0.25,16,0.42857142857142855,14,0.16666666666666666,6,0.3125,16
scramble,49,-0.22754898976351917,0.5878445645010817,-0.13303027595492875,0.18256000585639875,31,102,0.7777777777777778,9,0.09090909090909091,11,0.29411764705882354,17,0.38461538461538464,13,0.25,16,0.21428571428571427,14,0.3333333333333333,6,0.25,16
scramble,50,-0.3233590907165799,0.4346394485508574,-0.168227540940433,0.09100053563155767,30,102,0.7777777777777778,9,0.18181818181818182,11,0.23529411764705882,17,0.38461538461538464,13,0.25,16,0.21428571428571427,14,0.16666666666666666,6,0.25,16
scramble,51,-0.2142857142857143,0.6103444156452668,-0.16133327700593916,0.1052460939303868,33,102,0.8888888888888888,9,0.2727272727272727,11,0.29411764705882354,17,0.23076923076923078,13,0.125,16,0.35714285714285715,14,0.5,6,0.25,16
scramble,52,-0.38095238095238104,0.3518125531175649,-0.13229001132865867,0.18502831329233735,29,102,0.7777777777777778,9,0.0,11,0.35294117647058826,17,0.3076923076923077,13,0.1875,16,0.2857142857142857,14,0.16666666666666666,6,0.25,16
scramble,53,-0.3233590907165799,0.4346394485508574,-0.12208576287273037,0.22156091972810868,32,102,0.6666666666666666,9,0.2727272727272727,11,0.35294117647058826,17,0.15384615384615385,13,0.3125,16,0.2857142857142857,14,0.16666666666666666,6,0.3125,16
scramble,54,-0.5000000000000001,0.20703124999999997,-0.2631923269487052,0.007525552911901511,38,102,0.8888888888888888,9,0.2727272727272727,11,0.35294117647058826,17,0.6153846153846154,13,0.25,16,0.2857142857142857,14,0.5,6,0.125,16
scramble,55,-0.5476190476190477,0.1600256425388966,-0.24469479207359593,0.013188362747806392,33,102,0.8888888888888888,9,0.18181818181818182,11,0.35294117647058826,17,0.38461538461538464,13,0.25,16,0.2857142857142857,14,0.16666666666666666,6,0.1875,16
scramble,56,0.04761904761904763,0.9108491685195836,-0.12050396405423662,0.22765059920814357,40,102,1.0,9,0.2727272727272727,11,0.29411764705882354,17,0.38461538461538464,13,0.25,16,0.35714285714285715,14,0.3333333333333333,6,0.4375,16
scramble,57,-0.2142857142857143,0.6103444156452668,-0.1890006764033942,0.05710944495164296,33,102,0.8888888888888888,9,0.0,11,0.4117647058823529,17,0.38461538461538464,13,0.3125,16,0.14285714285714285,14,0.5,6,0.1875,16
scramble,58,-0.2515015150017844,0.5479426035598266,-0.16260356288240999,0.1024979387824036,34,102,0.7777777777777778,9,0.18181818181818182,11,0.4117647058823529,17,0.3076923076923077,13,0.3125,16,0.14285714285714285,14,0.3333333333333333,6,0.3125,16
scramble,59,-0.7380952380952381,0.03655276105286082,-0.23353391850329527,0.01816331553959643,31,102,0.7777777777777778,9,0.36363636363636365,11,0.29411764705882354,17,0.23076923076923078,13,0.25,16,0.21428571428571427,14,0.3333333333333333,6,0.1875,16
scramble,60,-0.4047619047619048,0.3198886412288164,-0.20289786684230543,0.04083137156422471,34,102,0.7777777777777778,9,0.2727272727272727,11,0.29411764705882354,17,0.3076923076923077,13,0.5,16,0.14285714285714285,14,0.3333333333333333,6,0.1875,16
scramble,61,0.09523809523809526,0.8225054302036114,-0.14998072946382898,0.13243029934021597,32,102,0.8888888888888888,9,0.18181818181818182,11,0.29411764705882354,17,0.23076923076923078,13,0.25,16,0.21428571428571427,14,0.3333333333333333,6,0.3125,16
scramble,62,-0.4523809523809524,0.2604047674368854,-0.25528363242439156,0.00961101222628003,35,102,0.8888888888888888,9,0.18181818181818182,11,0.35294117647058826,17,0.5384615384615384,13,0.3125,16,0.14285714285714285,14,0.3333333333333333,6,0.1875,16
scramble,63,-0.28571428571428575,0.49272624501695705,-0.2055292526668089,0.03823371377752252,33,102,0.8888888888888888,9,0.18181818181818182,11,0.29411764705882354,17,0.38461538461538464,13,0.25,16,0.2857142857142857,14,0.3333333333333333,6,0.1875,16
scramble,64,-0.11904761904761905,0.7788857260523796,-0.20429649521649776,0.03943290638456939,31,102,0.8888888888888888,9,0.18181818181818182,11,0.35294117647058826,17,0.23076923076923078,13,0.1875,16,0.21428571428571427,14,0.3333333333333333,6,0.25,16
scramble,65,0.011976262619132589,0.977546654703887,-0.11882531223221236,0.23424061319948467,32,102,0.7777777777777778,9,0.18181818181818182,11,0.23529411764705882,17,0.38461538461538464,13,0.25,16,0.21428571428571427,14,0.5,6,0.25,16
scramble,66,-0.08383383833392813,0.8435464923328297,-0.1644605059882361,0.09858215701301994,31,102,0.8888888888888888,9,0.18181818181818182,11,0.23529411764705882,17,0.3076923076923077,13,0.25,16,0.14285714285714285,14,0.5,6,0.25,16
scramble,67,-0.4761904761904762,0.23293553465009806,-0.23191508909566777,0.01900495879467265,35,102,0.8888888888888888,9,0.2727272727272727,11,0.29411764705882354,17,0.5384615384615384,13,0.25,16,0.14285714285714285,14,0.16666666666666666,6,0.3125,16
scramble,68,0.023809523809523815,0.9553740118158806,-0.10904295328491244,0.27528874914413787,36,102,0.8888888888888888,9,0.18181818181818182,11,0.23529411764705882,17,0.3076923076923077,13,0.375,16,0.42857142857142855,14,0.3333333333333333,6,0.25,16
scramble,69,-0.4285714285714286,0.2894032248467902,-0.12468295572619352,0.21181312805359798,33,102,0.5555555555555556,9,0.2727272727272727,11,0.29411764705882354,17,0.46153846153846156,13,0.3125,16,0.21428571428571427,14,0.5,6,0.1875,16
scramble,70,0.011976262619132589,0.977546654703887,-0.08130178144120499,0.4166000387592745,34,102,0.7777777777777778,9,0.18181818181818182,11,0.23529411764705882,17,0.38461538461538464,13,0.3125,16,0.21428571428571427,14,0.5,6,0.3125,16
scramble,71,0.0,1.0,-0.16306266029752495,0.1015186697798798,30,102,0.8888888888888888,9,0.18181818181818182,11,0.23529411764705882,17,0.3076923076923077,13,0.1875,16,0.14285714285714285,14,0.3333333333333333,6,0.3125,16
scramble,72,-0.8333333333333335,0.010175540123456757,-0.28369951531401966,0.0038581867135795596,30,102,0.6666666666666666,9,0.36363636363636365,11,0.29411764705882354,17,0.3076923076923077,13,0.375,16,0.21428571428571427,14,0.16666666666666666,6,0.0625,16
scramble,73,-0.3571428571428572,0.3851206435562562,-0.19451855860179543,0.05010284307506496,36,102,0.8888888888888888,9,0.36363636363636365,11,0.23529411764705882,17,0.38461538461538464,13,0.3125,16,0.21428571428571427,14,0.5,6,0.25,16
scramble,74,-0.4523809523809524,0.2604047674368854,-0.23149199547677954,0.01923038705136509,32,102,0.7777777777777778,9,0.2727272727272727,11,0.29411764705882354,17,0.3076923076923077,13,0.375,16,0.21428571428571427,14,0.3333333333333333,6,0.125,16
scramble,75,-0.6428571428571429,0.08555889101267328,-0.16236567593797266,0.10300826215219325,38,102,0.7777777777777778,9,0.36363636363636365,11,0.29411764705882354,17,0.38461538461538464,13,0.375,16,0.35714285714285715,14,0.3333333333333333,6,0.25,16
scramble,76,-0.09523809523809526,0.8225054302036114,-0.14418437276957474,0.14823039679704586,32,102,0.8888888888888888,9,0.09090909090909091,11,0.23529411764705882,17,0.38461538461538464,13,0.3125,16,0.21428571428571427,14,0.3333333333333333,6,0.25,16
scramble,77,-0.523809523809524,0.18272075053971482,-0.2054083903526354,0.038349918754289135,32,102,0.7777777777777778,9,0.2727272727272727,11,0.35294117647058826,17,0.23076923076923078,13,0.25,16,0.2857142857142857,14,0.3333333333333333,6,0.1875,16
