null_type,realization,rho_per_T,p_per_T,rho_per_gal,p_per_gal,n_shellbearing,n_total,frac_T2,n_T2,frac_T3,n_T3,frac_T4,n_T4,frac_T5,n_T5,frac_T6,n_T6,frac_T7,n_T7,frac_T8,n_T8,frac_T9,n_T9
scramble,56,0.11904761904761905,0.7788857260523796,-0.10424555629106555,0.29952890781581554,39,101,1.0,9,0.2,10,0.29411764705882354,17,0.38461538461538464,13,0.25,16,0.35714285714285715,14,0.3333333333333333,6,0.4375,16
scramble,57,-0.2142857142857143,0.6103444156452669,-0.19851000108166603,0.04658873780120979,33,101,0.8888888888888888,9,0.0,10,0.4117647058823529,17,0.38461538461538464,13,0.3125,16,0.14285714285714285,14,0.5,6,0.1875,16
scramble,58,-0.15569141404872364,0.7127617079991629,-0.14659762510819163,0.14350422871146046,33,101,0.7777777777777778,9,0.1,10,0.4117647058823529,17,0.3076923076923077,13,0.3125,16,0.14285714285714285,14,0.3333333333333333,6,0.3125,16
scramble,59,-0.6190476190476191,0.10173303745426478,-0.2172614883977431,0.029079115867380996,30,101,0.7777777777777778,9,0.3,10,0.29411764705882354,17,0.23076923076923078,13,0.25,16,0.21428571428571427,14,0.3333333333333333,6,0.1875,16
scramble,60,-0.4047619047619048,0.3198886412288163,-0.18754259770698833,0.06037850789845295,33,101,0.7777777777777778,9,0.2,10,0.29411764705882354,17,0.3076923076923077,13,0.5,16,0.14285714285714285,14,0.3333333333333333,6,0.1875,16
scramble,61,0.09523809523809526,0.8225054302036114,-0.15773868752061287,0.11516371344518037,32,101,0.8888888888888888,9,0.2,10,0.29411764705882354,17,0.23076923076923078,13,0.25,16,0.21428571428571427,14,0.3333333333333333,6,0.3125,16
scramble,62,-0.3571428571428572,0.38512064355625614,-0.24128969467099798,0.015066428586695253,34,101,0.8888888888888888,9,0.1,10,0.35294117647058826,17,0.5384615384615384,13,0.3125,16,0.14285714285714285,14,0.3333333333333333,6,0.1875,16
scramble,63,-0.28571428571428575,0.49272624501695717,-0.18943384435886684,0.05778745463856472,32,101,0.8888888888888888,9,0.1,10,0.29411764705882354,17,0.38461538461538464,13,0.25,16,0.2857142857142857,14,0.3333333333333333,6,0.1875,16
scramble,64,-0.19047619047619052,0.6514014957024814,-0.21264743586926882,0.03276417811286083,31,101,0.8888888888888888,9,0.2,10,0.35294117647058826,17,0.23076923076923078,13,0.1875,16,0.21428571428571427,14,0.3333333333333333,6,0.25,16
scramble,65,0.011976262619132589,0.977546654703887,-0.10074729916183889,0.3161271334287279,31,101,0.7777777777777778,9,0.1,10,0.23529411764705882,17,0.38461538461538464,13,0.25,16,0.21428571428571427,14,0.5,6,0.25,16
scramble,66,-0.08383383833392813,0.8435464923328299,-0.17212545945362143,0.08521841296453656,31,101,0.8888888888888888,9,0.2,10,0.23529411764705882,17,0.3076923076923077,13,0.25,16,0.14285714285714285,14,0.5,6,0.25,16
scramble,67,-0.4047619047619048,0.3198886412288163,-0.21697930438083726,0.029293937045346413,34,101,0.8888888888888888,9,0.2,10,0.29411764705882354,17,0.5384615384615384,13,0.25,16,0.14285714285714285,14,0.16666666666666666,6,0.3125,16
scramble,68,0.023809523809523815,0.9553740118158806,-0.09188152164720029,0.3608014235458131,35,101,0.8888888888888888,9,0.1,10,0.23529411764705882,17,0.3076923076923077,13,0.375,16,0.42857142857142855,14,0.3333333333333333,6,0.25,16
scramble,69,-0.3333333333333334,0.4197530864197532,-0.10835321058658921,0.2807834207217421,32,101,0.5555555555555556,9,0.2,10,0.29411764705882354,17,0.46153846153846156,13,0.3125,16,0.21428571428571427,14,0.5,6,0.1875,16
scramble,70,0.011976262619132589,0.977546654703887,-0.08925904494596316,0.3747290092342166,34,101,0.7777777777777778,9,0.2,10,0.23529411764705882,17,0.38461538461538464,13,0.3125,16,0.21428571428571427,14,0.5,6,0.3125,16
scramble,71,-0.07142857142857144,0.8665262706759088,-0.17035702199063105,0.08852495387904119,30,101,0.8888888888888888,9,0.2,10,0.23529411764705882,17,0.3076923076923077,13,0.1875,16,0.14285714285714285,14,0.3333333333333333,6,0.3125,16
scramble,72,-0.7857142857142858,0.020815127253525273,-0.2690835136440317,0.006508998779359956,29,101,0.6666666666666666,9,0.3,10,0.29411764705882354,17,0.3076923076923077,13,0.375,16,0.21428571428571427,14,0.16666666666666666,6,0.0625,16
scramble,73,-0.28571428571428575,0.49272624501695717,-0.1787185675961229,0.07374878510293569,35,101,0.8888888888888888,9,0.3,10,0.23529411764705882,17,0.38461538461538464,13,0.3125,16,0.21428571428571427,14,0.5,6,0.25,16
scramble,74,-0.3571428571428572,0.38512064355625614,-0.21599328713294616,0.03005516060624689,31,101,0.7777777777777778,9,0.2,10,0.29411764705882354,17,0.3076923076923077,13,0.375,16,0.21428571428571427,14,0.3333333333333333,6,0.125,16
scramble,75,-0.4285714285714286,0.2894032248467901,-0.14733416988584994,0.1414815318625578,37,101,0.7777777777777778,9,0.3,10,0.29411764705882354,17,0.38461538461538464,13,0.375,16,0.35714285714285715,14,0.3333333333333333,6,0.25,16
scramble,76,-0.09523809523809526,0.8225054302036114,-0.12639882551669826,0.2078355927230817,31,101,0.8888888888888888,9,0.0,10,0.23529411764705882,17,0.38461538461538464,13,0.3125,16,0.21428571428571427,14,0.3333333333333333,6,0.25,16
scramble,77,-0.4047619047619048,0.3198886412288163,-0.18922647702352768,0.05806703344591125,31,101,0.7777777777777778,9,0.2,10,0.35294117647058826,17,0.23076923076923078,13,0.25,16,0.2857142857142857,14,0.3333333333333333,6,0.1875,16
scramble,78,0.2380952380952381,0.5701563208157683,-0.0750471462513793,0.45574033712769146,30,101,0.8888888888888888,9,0.1,10,0.23529411764705882,17,0.15384615384615385,13,0.1875,16,0.2857142857142857,14,0.5,6,0.3125,16
scramble,79,-0.523809523809524,0.1827207505397148,-0.27046852442813035,0.006228117134245505,37,101,0.8888888888888888,9,0.3,10,0.29411764705882354,17,0.6153846153846154,13,0.3125,16,0.21428571428571427,14,0.5,6,0.125,16
scramble,80,-0.6428571428571429,0.08555889101267325,-0.1929440895387247,0.0532197107568332,31,101,0.6666666666666666,9,0.3,10,0.29411764705882354,17,0.38461538461538464,13,0.25,16,0.21428571428571427,14,0.3333333333333333,6,0.1875,16
