null_type,realization,Galaxy,T,n_pts,n_shells,chi2,bic
scramble,86,UGC00128,8,22,1,176.04098216977243,191.49619443656402
scramble,86,UGC01281,8,25,0,5.927695722222223,12.365447371958624
scramble,86,UGC02259,8,8,1,2.4725880120238113,12.86979572042299
scramble,86,UGC02885,5,19,0,46.235017710641365,52.12389566897424
scramble,86,UGC02916,2,32,1,119.40226535916912,136.73094487316774
scramble,86,UGC02953,2,106,2,2649.2540598349888,2686.561572587885
scramble,86,UGC03205,2,46,1,1069.7408441359746,1088.88405111842
scramble,86,UGC04278,7,25,0,12.610228532018072,19.047980181754472
scramble,86,UGC04325,9,8,0,2.6280141806055113,6.786897263965183
scramble,86,UGC04499,8,9,0,1.0094161478470438,5.403865302519483
scramble,86,UGC05253,2,73,2,1359.5994031169248,1393.923078646112
scramble,86,UGC05716,9,12,1,21.38253781924785,33.80707106818785
scramble,86,UGC05721,7,23,0,13.041157946359021,19.31214637821732
scramble,86,UGC05986,9,15,2,109.92954632404088,131.59394793285855
scramble,86,UGC06399,9,9,0,0.4169933844460146,4.811442539118453
scramble,86,UGC06446,7,17,0,5.904261953886514,11.570688641998945
scramble,86,UGC06667,6,9,0,0.7424910643428063,5.136940219015245
scramble,86,UGC06787,2,55,1,817.4058932228477,837.4425591490101
scramble,86,UGC06818,9,8,1,0.6899161440917716,11.08712385249095
scramble,86,UGC06917,9,11,0,1.820876321258155,6.616666866854896
scramble,86,UGC06930,7,10,0,1.2708763150680726,5.876046501056164
scramble,86,UGC06983,6,17,0,4.229274971007674,9.895701659120107
scramble,86,UGC07125,9,13,0,3.2974546351416536,8.427353350064728
scramble,86,UGC07151,6,11,0,5.646540307412523,10.442330853009263
scramble,86,UGC07261,8,7,0,1.6565867498274622,5.548407047938088
scramble,86,UGC07399,8,10,1,4.412912674302461,15.925838139272692
scramble,86,UGC07524,9,31,0,8.359758609087464,15.227733018057757
scramble,86,UGC07603,7,12,0,1.9148779781998553,6.884691277775856
scramble,86,UGC08286,6,17,2,15.756238321393521,38.42194507384325
scramble,86,UGC08490,9,30,0,17.424454500214498,24.22684926353881
scramble,86,UGC08550,7,11,0,6.235956408299879,11.03174695389662
scramble,86,UGC08699,2,37,0,90.21932806478839,97.44116389007684
scramble,86,UGC09037,6,19,0,68.24316074412509,74.13203870245798
scramble,86,UGC09133,2,64,2,736.1108261870208,769.3818908538982
scramble,86,UGC10310,9,7,0,0.35972641937492045,4.251546717485547
scramble,86,UGC11455,6,33,1,60.088344370091185,77.57088217742358
scramble,86,UGC11914,2,63,2,166.81771291434694,199.9627907254792
scramble,86,UGC12506,6,31,0,18.987410995527814,25.855385404498108
scramble,86,UGC12632,9,15,0,0.6906002446413494,6.10670064684577
scramble,86,UGCA442,9,8,0,4.5967023558281745,8.755585439187847
scramble,87,ESO079-G014,4,15,0,12.992480774164163,18.408581176368582
scramble,87,ESO116-G012,7,15,0,8.991592873499187,14.407693275703608
scramble,87,ESO563-G021,4,27,1,133.66663525658285,150.1458195866045
scramble,87,F568-V1,7,15,0,0.6298587131784157,6.045959115382836
scramble,87,F571-8,5,9,0,9.081914243211797,13.476363397884235
scramble,87,F571-V1,7,7,0,0.10196405952557264,3.993784357636199
scramble,87,F574-1,7,14,0,5.068857967978546,10.346972627209063
scramble,87,F583-1,9,25,1,12.33904129503372,28.433420419374723
scramble,87,IC2574,9,34,2,86.86347443988639,115.07435863681567
scramble,87,IC4202,4,29,0,70.132978474856,76.86757013482895
scramble,87,NGC0024,5,29,0,13.179322019620548,19.913913679593495
scramble,87,NGC0055,9,21,0,10.747919757891415,16.836964633338262
